X,Y,Z
-5.0,-2.0,-0.3933914493404223
-4.966555183946488,-2.0,-0.40085923545921676
-4.933110367892977,-2.0,-0.385453002427537
-4.8996655518394645,-2.0,-0.3999412311320876
-4.866220735785953,-2.0,-0.3955616434461862
-4.832775919732441,-2.0,-0.4114273974375444
-4.79933110367893,-2.0,-0.38826981338904537
-4.765886287625418,-2.0,-0.3937664284059358
-4.7324414715719065,-2.0,-0.40652468421009125
-4.698996655518394,-2.0,-0.41313089662072583
-4.665551839464883,-2.0,-0.39515218639008076
-4.632107023411371,-2.0,-0.39372898634116354
-4.59866220735786,-2.0,-0.3920289701923702
-4.565217391304348,-2.0,-0.3836734839780148
-4.531772575250836,-2.0,-0.43024770403038226
-4.498327759197324,-2.0,-0.3834628648433188
-4.464882943143813,-2.0,-0.394306987076195
-4.431438127090301,-2.0,-0.3840676349283629
-4.39799331103679,-2.0,-0.420371199049527
-4.364548494983278,-2.0,-0.3962183722457216
-4.331103678929766,-2.0,-0.4027723153669912
-4.297658862876254,-2.0,-0.4024142687662414
-4.264214046822742,-2.0,-0.3927990750106298
-4.230769230769231,-2.0,-0.40478087013222275
-4.19732441471572,-2.0,-0.38581650929373046
-4.1638795986622075,-2.0,-0.40432085330465395
-4.130434782608695,-2.0,-0.40910730356844227
-4.096989966555184,-2.0,-0.3874622072346739
-4.063545150501672,-2.0,-0.40302661633602926
-4.030100334448161,-2.0,-0.39252205158964
-3.9966555183946486,-2.0,-0.38952747502377955
-3.9632107023411374,-2.0,-0.39803105947528844
-3.9297658862876252,-2.0,-0.38386526085313427
-3.896321070234114,-2.0,-0.4102371826365045
-3.862876254180602,-2.0,-0.3805272229164985
-3.8294314381270906,-2.0,-0.39214565594340056
-3.7959866220735785,-2.0,-0.3948311285804511
-3.7625418060200673,-2.0,-0.3904926486206978
-3.729096989966555,-2.0,-0.3970921845944374
-3.6956521739130435,-2.0,-0.40125680493157734
-3.6622073578595318,-2.0,-0.3871539310839911
-3.62876254180602,-2.0,-0.3957585492926427
-3.5953177257525084,-2.0,-0.41696205714580203
-3.5618729096989967,-2.0,-0.40379277080533144
-3.528428093645485,-2.0,-0.39078699943900397
-3.4949832775919734,-2.0,-0.38168663711304257
-3.4615384615384617,-2.0,-0.3759918583236231
-3.42809364548495,-2.0,-0.36542845842843885
-3.3946488294314383,-2.0,-0.38194552058049736
-3.361204013377926,-2.0,-0.3762352449551178
-3.327759197324415,-2.0,-0.3515145444550709
-3.294314381270903,-2.0,-0.3657574054132986
-3.2608695652173916,-2.0,-0.3700457116229005
-3.2274247491638794,-2.0,-0.3437131835052455
-3.193979933110368,-2.0,-0.3427070867067953
-3.160535117056856,-2.0,-0.33599697684624297
-3.127090301003345,-2.0,-0.350388487435897
-3.0936454849498327,-2.0,-0.3479132078274692
-3.0602006688963215,-2.0,-0.32161012469813044
-3.0267558528428093,-2.0,-0.29965553649941334
-2.9933110367892977,-2.0,-0.28969389991327527
-2.959866220735786,-2.0,-0.2779627615384711
-2.9264214046822743,-2.0,-0.2844237537094886
-2.8929765886287626,-2.0,-0.2543436437133214
-2.859531772575251,-2.0,-0.25612349871258483
-2.8260869565217392,-2.0,-0.21607589152264256
-2.7926421404682276,-2.0,-0.23739195942819513
-2.759197324414716,-2.0,-0.1895196656691416
-2.725752508361204,-2.0,-0.1770789231399797
